Activity_ID,Application_ID,Product_Type,Channel,Stage,Activity_Type,Activity_Timestamp,Performed_By,Status_After_Activity,Activity_Notes,Dedupe_Flag,Dedupe_Match_Type,Existing_Record_Flag,Risk_Grade,Fraud_Flag,Exception_Flag,Bureau_Score,Employment_Verified,Income_Verified,Address_Verified,KYC_Status,UW_Decision,Escalation_Required,Underwriting_Notes,Documents_Collected_Flag,Missing_Documents_Count,PDOC_Status,PDOC_Clearance_Date,PDOC_Notes,Final_Approved_Limit,Disbursement_Date,Activation_Status,Welcome_Kit_Sent,DI_Notes,Stage_Start_Timestamp,Stage_End_Timestamp,Stage_Duration_Minutes,Total_Processing_Days,SLA_Met,Last_Modified_By,Last_Modified_Timestamp,Escalation_Notes,QA_Check_Flag
131,APP011,Other,Branch,DI,Activated,2025-09-05 07:04,Team A,Pending,Activated done for DI,Yes,None,No,Low,Yes,Yes,399,NA,No,Yes,Pending,Hold,NA,Notes for DI,Yes,2,Approved,2025-09-05 08:04,PDOC note for APP011,3505,2025-09-05 09:04,Inactive,Yes,DI note for APP011,2025-09-05 05:43,2025-09-05 07:04,81,8,No,Team B,2025-09-05 07:04,Escalation note for APP011,Yes
132,APP011,Other,Branch,DI,Welcome Kit Sent,2025-09-05 08:25,System,Complete,Welcome Kit Sent done for DI,No,Partial,No,Medium,Yes,Yes,592,Yes,NA,No,Pending,Approve,Yes,Notes for DI,NA,3,Rejected,2025-09-05 09:25,PDOC note for APP011,3799,2025-09-05 10:25,Inactive,NA,DI note for APP011,2025-09-05 08:01,2025-09-05 08:25,24,4,Yes,System,2025-09-05 08:25,Escalation note for APP011,No
133,APP012,Credit Card,Branch,Sourcing,Submitted,2025-09-09 06:04,Third Party,Approved,Submitted done for Sourcing,No,Partial,Yes,Low,Yes,No,606,Yes,No,No,Pending,Decline,Yes,Notes for Sourcing,No,2,Approved,2025-09-09 07:04,PDOC note for APP012,8936,2025-09-09 08:04,Active,No,DI note for APP012,2025-09-09 04:00,2025-09-09 06:04,124,9,Yes,Team A,2025-09-09 06:04,Escalation note for APP012,Yes
134,APP012,Credit Card,Branch,Sourcing,Reviewed,2025-09-09 10:08,Third Party,Complete,Reviewed done for Sourcing,Yes,Partial,Yes,High,No,NA,668,No,Yes,No,Pending,Hold,Yes,Notes for Sourcing,NA,2,Pending,2025-09-09 11:08,PDOC note for APP012,3106,2025-09-09 12:08,Active,No,DI note for APP012,2025-09-09 06:51,2025-09-09 10:08,197,1,Yes,System,2025-09-09 10:08,Escalation note for APP012,No
135,APP012,Credit Card,Branch,Dedupe,Checked,2025-09-09 13:57,Auto,Complete,Checked done for Dedupe,NA,Exact,Yes,Medium,NA,No,537,Yes,Yes,NA,Rejected,Hold,No,Notes for Dedupe,No,2,Escalated,2025-09-09 14:57,PDOC note for APP012,6094,2025-09-09 15:57,Inactive,No,DI note for APP012,2025-09-09 10:35,2025-09-09 13:57,202,5,Yes,System,2025-09-09 13:57,Escalation note for APP012,No
136,APP012,Credit Card,Branch,Dedupe,Flagged,2025-09-09 16:21,Team B,Approved,Flagged done for Dedupe,No,Partial,No,Low,No,No,403,No,No,Yes,Pending,Hold,No,Notes for Dedupe,No,3,Complete,2025-09-09 17:21,PDOC note for APP012,7185,2025-09-09 18:21,Active,Yes,DI note for APP012,2025-09-09 14:28,2025-09-09 16:21,113,1,Yes,Team B,2025-09-09 16:21,Escalation note for APP012,Yes
137,APP012,Credit Card,Branch,Underwriting,Verified Documents,2025-09-09 18:58,Team B,Pending,Verified Documents done for Underwriting,NA,Partial,No,Medium,NA,No,549,NA,No,NA,Cleared,Decline,NA,Notes for Underwriting,NA,3,Rejected,2025-09-09 19:58,PDOC note for APP012,9941,2025-09-09 20:58,Inactive,Yes,DI note for APP012,2025-09-09 17:12,2025-09-09 18:58,106,1,Yes,Team B,2025-09-09 18:58,Escalation note for APP012,Yes
138,APP012,Credit Card,Branch,Underwriting,Decision,2025-09-09 23:08,Auto,Escalated,Decision done for Underwriting,No,None,Yes,Medium,No,Yes,493,NA,NA,No,Cleared,Hold,No,Notes for Underwriting,No,2,Rejected,2025-09-10 00:08,PDOC note for APP012,2496,2025-09-10 01:08,Inactive,NA,DI note for APP012,2025-09-09 19:40,2025-09-09 23:08,208,1,Yes,Team B,2025-09-09 23:08,Escalation note for APP012,Yes
139,APP012,Credit Card,Branch,Underwriting,Escalated,2025-09-10 03:01,Third Party,Approved,Escalated done for Underwriting,No,Exact,Yes,Medium,NA,No,835,No,NA,Yes,Cleared,Approve,Yes,Notes for Underwriting,Yes,0,Rejected,2025-09-10 04:01,PDOC note for APP012,5706,2025-09-10 05:01,Inactive,No,DI note for APP012,2025-09-10 00:03,2025-09-10 03:01,178,1,Yes,System,2025-09-10 03:01,Escalation note for APP012,Yes
140,APP012,Credit Card,Branch,PDOC,Documents Collected,2025-09-10 05:16,Team B,Escalated,Documents Collected done for PDOC,NA,None,Yes,Medium,Yes,Yes,810,NA,Yes,Yes,Cleared,Decline,NA,Notes for PDOC,Yes,1,Rejected,2025-09-10 06:16,PDOC note for APP012,1073,2025-09-10 07:16,Inactive,Yes,DI note for APP012,2025-09-10 03:58,2025-09-10 05:16,78,5,Yes,System,2025-09-10 05:16,Escalation note for APP012,No
141,APP012,Credit Card,Branch,PDOC,PDOC Reviewed,2025-09-10 06:27,Third Party,On Hold,PDOC Reviewed done for PDOC,Yes,None,No,Low,No,NA,743,Yes,No,NA,Cleared,Approve,Yes,Notes for PDOC,Yes,0,On Hold,2025-09-10 07:27,PDOC note for APP012,8761,2025-09-10 08:27,Inactive,NA,DI note for APP012,2025-09-10 05:55,2025-09-10 06:27,32,2,Yes,Team A,2025-09-10 06:27,Escalation note for APP012,No
142,APP012,Credit Card,Branch,DI,Disbursed,2025-09-10 07:50,Auto,Complete,Disbursed done for DI,NA,None,NA,Medium,No,No,860,NA,Yes,No,Cleared,Decline,Yes,Notes for DI,Yes,2,On Hold,2025-09-10 08:50,PDOC note for APP012,2049,2025-09-10 09:50,Inactive,No,DI note for APP012,2025-09-10 06:42,2025-09-10 07:50,68,4,No,Team A,2025-09-10 07:50,Escalation note for APP012,No
143,APP012,Credit Card,Branch,DI,Activated,2025-09-10 09:40,Auto,Complete,Activated done for DI,Yes,Exact,NA,Low,No,No,808,Yes,No,NA,Cleared,Approve,No,Notes for DI,No,0,Pending,2025-09-10 10:40,PDOC note for APP012,4319,2025-09-10 11:40,Inactive,NA,DI note for APP012,2025-09-10 08:28,2025-09-10 09:40,72,5,Yes,System,2025-09-10 09:40,Escalation note for APP012,No
144,APP012,Credit Card,Branch,DI,Welcome Kit Sent,2025-09-10 11:11,Team A,Pending,Welcome Kit Sent done for DI,Yes,Exact,Yes,Low,Yes,NA,680,Yes,No,Yes,Rejected,Hold,Yes,Notes for DI,No,2,Approved,2025-09-10 12:11,PDOC note for APP012,4660,2025-09-10 13:11,Active,NA,DI note for APP012,2025-09-10 10:40,2025-09-10 11:11,31,9,No,Team A,2025-09-10 11:11,Escalation note for APP012,No
145,APP013,Loan,TeleSales,Sourcing,Submitted,2025-09-10 07:25,Team B,Approved,Submitted done for Sourcing,NA,Exact,NA,Low,NA,Yes,304,No,Yes,NA,Cleared,Hold,NA,Notes for Sourcing,No,2,Approved,2025-09-10 08:25,PDOC note for APP013,5121,2025-09-10 09:25,Active,NA,DI note for APP013,2025-09-10 04:00,2025-09-10 07:25,205,8,No,System,2025-09-10 07:25,Escalation note for APP013,No
146,APP013,Loan,TeleSales,Sourcing,Reviewed,2025-09-10 11:27,System,Pending,Reviewed done for Sourcing,No,Exact,Yes,Low,NA,NA,819,Yes,No,Yes,Rejected,Decline,No,Notes for Sourcing,No,2,Pending,2025-09-10 12:27,PDOC note for APP013,9969,2025-09-10 13:27,Inactive,No,DI note for APP013,2025-09-10 08:01,2025-09-10 11:27,206,1,Yes,System,2025-09-10 11:27,Escalation note for APP013,Yes
147,APP013,Loan,TeleSales,Dedupe,Checked,2025-09-10 11:54,Auto,Approved,Checked done for Dedupe,No,Exact,Yes,High,No,NA,591,No,Yes,No,Rejected,Hold,Yes,Notes for Dedupe,No,2,Escalated,2025-09-10 12:54,PDOC note for APP013,4202,2025-09-10 13:54,Active,Yes,DI note for APP013,2025-09-10 11:44,2025-09-10 11:54,10,6,No,Team A,2025-09-10 11:54,Escalation note for APP013,Yes
148,APP013,Loan,TeleSales,Dedupe,Flagged,2025-09-10 14:38,Auto,Pending,Flagged done for Dedupe,Yes,Partial,No,High,Yes,No,608,NA,Yes,NA,Pending,Approve,Yes,Notes for Dedupe,No,0,Approved,2025-09-10 15:38,PDOC note for APP013,8741,2025-09-10 16:38,Active,NA,DI note for APP013,2025-09-10 12:23,2025-09-10 14:38,135,5,Yes,Team B,2025-09-10 14:38,Escalation note for APP013,No
149,APP013,Loan,TeleSales,Underwriting,Verified Documents,2025-09-10 16:38,Auto,Escalated,Verified Documents done for Underwriting,NA,None,No,Medium,NA,Yes,351,No,Yes,NA,Pending,Decline,NA,Notes for Underwriting,NA,3,Pending,2025-09-10 17:38,PDOC note for APP013,1497,2025-09-10 18:38,Inactive,No,DI note for APP013,2025-09-10 15:33,2025-09-10 16:38,65,2,No,Team B,2025-09-10 16:38,Escalation note for APP013,Yes
150,APP013,Loan,TeleSales,Underwriting,Decision,2025-09-10 17:25,Auto,Complete,Decision done for Underwriting,No,Exact,Yes,High,NA,Yes,621,No,No,No,Pending,Hold,NA,Notes for Underwriting,NA,3,Escalated,2025-09-10 18:25,PDOC note for APP013,4874,2025-09-10 19:25,Active,Yes,DI note for APP013,2025-09-10 16:50,2025-09-10 17:25,35,4,No,Team A,2025-09-10 17:25,Escalation note for APP013,No
151,APP013,Loan,TeleSales,Underwriting,Escalated,2025-09-10 20:08,Auto,Approved,Escalated done for Underwriting,No,None,Yes,Medium,Yes,NA,318,NA,No,Yes,Pending,Decline,No,Notes for Underwriting,No,3,Approved,2025-09-10 21:08,PDOC note for APP013,8815,2025-09-10 22:08,Active,Yes,DI note for APP013,2025-09-10 17:43,2025-09-10 20:08,145,1,No,Team B,2025-09-10 20:08,Escalation note for APP013,Yes
152,APP013,Loan,TeleSales,PDOC,Documents Collected,2025-09-10 23:50,Auto,Complete,Documents Collected done for PDOC,NA,None,Yes,Medium,Yes,NA,710,No,NA,NA,Rejected,Approve,Yes,Notes for PDOC,NA,2,On Hold,2025-09-11 00:50,PDOC note for APP013,9274,2025-09-11 01:50,Active,NA,DI note for APP013,2025-09-10 20:42,2025-09-10 23:50,188,6,Yes,Team B,2025-09-10 23:50,Escalation note for APP013,No
153,APP013,Loan,TeleSales,PDOC,PDOC Reviewed,2025-09-11 02:10,System,Approved,PDOC Reviewed done for PDOC,Yes,None,No,Medium,NA,NA,472,Yes,No,Yes,Rejected,Hold,No,Notes for PDOC,NA,3,Complete,2025-09-11 03:10,PDOC note for APP013,7643,2025-09-11 04:10,Active,No,DI note for APP013,2025-09-11 00:01,2025-09-11 02:10,129,3,Yes,System,2025-09-11 02:10,Escalation note for APP013,No
154,APP013,Loan,TeleSales,DI,Disbursed,2025-09-11 06:37,Auto,Escalated,Disbursed done for DI,NA,Exact,Yes,High,No,Yes,549,Yes,Yes,No,Pending,Approve,No,Notes for DI,NA,1,Rejected,2025-09-11 07:37,PDOC note for APP013,1972,2025-09-11 08:37,Inactive,Yes,DI note for APP013,2025-09-11 02:54,2025-09-11 06:37,223,8,Yes,Team B,2025-09-11 06:37,Escalation note for APP013,No
155,APP013,Loan,TeleSales,DI,Activated,2025-09-11 07:45,System,Escalated,Activated done for DI,NA,None,NA,High,NA,Yes,596,No,No,Yes,Cleared,Hold,No,Notes for DI,NA,3,Pending,2025-09-11 08:45,PDOC note for APP013,1350,2025-09-11 09:45,Inactive,Yes,DI note for APP013,2025-09-11 07:22,2025-09-11 07:45,23,5,Yes,Team B,2025-09-11 07:45,Escalation note for APP013,Yes
156,APP013,Loan,TeleSales,DI,Welcome Kit Sent,2025-09-11 09:33,Team A,Escalated,Welcome Kit Sent done for DI,NA,Partial,Yes,Medium,Yes,Yes,612,Yes,No,NA,Pending,Decline,Yes,Notes for DI,Yes,2,Complete,2025-09-11 10:33,PDOC note for APP013,3473,2025-09-11 11:33,Inactive,No,DI note for APP013,2025-09-11 08:09,2025-09-11 09:33,84,3,Yes,Team A,2025-09-11 09:33,Escalation note for APP013,Yes
157,APP014,Credit Card,Online,Sourcing,Submitted,2025-09-10 06:33,Team A,Complete,Submitted done for Sourcing,Yes,Partial,NA,Medium,No,NA,697,NA,Yes,NA,Pending,Hold,No,Notes for Sourcing,Yes,3,Approved,2025-09-10 07:33,PDOC note for APP014,6605,2025-09-10 08:33,Inactive,Yes,DI note for APP014,2025-09-10 05:00,2025-09-10 06:33,93,2,No,Team A,2025-09-10 06:33,Escalation note for APP014,Yes
158,APP014,Credit Card,Online,Sourcing,Reviewed,2025-09-10 08:15,Auto,Rejected,Reviewed done for Sourcing,Yes,Partial,NA,Low,No,NA,357,No,No,Yes,Rejected,Approve,Yes,Notes for Sourcing,No,2,Rejected,2025-09-10 09:15,PDOC note for APP014,4842,2025-09-10 10:15,Inactive,No,DI note for APP014,2025-09-10 06:57,2025-09-10 08:15,78,5,No,Team B,2025-09-10 08:15,Escalation note for APP014,No
159,APP014,Credit Card,Online,Dedupe,Checked,2025-09-10 10:34,Team B,Pending,Checked done for Dedupe,Yes,None,NA,High,Yes,NA,543,NA,No,Yes,Pending,Hold,Yes,Notes for Dedupe,NA,0,Rejected,2025-09-10 11:34,PDOC note for APP014,3588,2025-09-10 12:34,Inactive,Yes,DI note for APP014,2025-09-10 09:00,2025-09-10 10:34,94,9,No,Team B,2025-09-10 10:34,Escalation note for APP014,No
160,APP014,Credit Card,Online,Dedupe,Flagged,2025-09-10 14:28,Team B,Pending,Flagged done for Dedupe,No,Partial,Yes,Medium,Yes,No,886,No,No,No,Pending,Approve,Yes,Notes for Dedupe,No,2,Approved,2025-09-10 15:28,PDOC note for APP014,4955,2025-09-10 16:28,Inactive,Yes,DI note for APP014,2025-09-10 10:52,2025-09-10 14:28,216,4,No,Team A,2025-09-10 14:28,Escalation note for APP014,No
161,APP014,Credit Card,Online,Underwriting,Verified Documents,2025-09-10 18:27,Team B,Approved,Verified Documents done for Underwriting,NA,Exact,Yes,Low,NA,No,599,NA,No,Yes,Rejected,Decline,No,Notes for Underwriting,Yes,2,Approved,2025-09-10 19:27,PDOC note for APP014,6027,2025-09-10 20:27,Active,NA,DI note for APP014,2025-09-10 15:28,2025-09-10 18:27,179,7,No,System,2025-09-10 18:27,Escalation note for APP014,No
162,APP014,Credit Card,Online,Underwriting,Decision,2025-09-10 20:20,Third Party,On Hold,Decision done for Underwriting,No,Partial,NA,Medium,NA,Yes,478,NA,NA,Yes,Pending,Hold,Yes,Notes for Underwriting,Yes,2,On Hold,2025-09-10 21:20,PDOC note for APP014,3145,2025-09-10 22:20,Active,Yes,DI note for APP014,2025-09-10 19:07,2025-09-10 20:20,73,1,No,System,2025-09-10 20:20,Escalation note for APP014,No
163,APP014,Credit Card,Online,Underwriting,Escalated,2025-09-10 23:18,System,Approved,Escalated done for Underwriting,NA,Exact,NA,High,No,No,346,No,NA,NA,Pending,Approve,NA,Notes for Underwriting,No,2,Rejected,2025-09-11 00:18,PDOC note for APP014,5548,2025-09-11 01:18,Inactive,Yes,DI note for APP014,2025-09-10 20:41,2025-09-10 23:18,157,3,No,Team B,2025-09-10 23:18,Escalation note for APP014,No
164,APP014,Credit Card,Online,PDOC,Documents Collected,2025-09-11 00:50,Team B,Pending,Documents Collected done for PDOC,No,Partial,NA,Low,NA,NA,456,Yes,Yes,Yes,Rejected,Approve,NA,Notes for PDOC,No,2,On Hold,2025-09-11 01:50,PDOC note for APP014,9774,2025-09-11 02:50,Active,No,DI note for APP014,2025-09-11 00:02,2025-09-11 00:50,48,1,Yes,Team B,2025-09-11 00:50,Escalation note for APP014,No
165,APP014,Credit Card,Online,PDOC,PDOC Reviewed,2025-09-11 02:26,Auto,Complete,PDOC Reviewed done for PDOC,Yes,Exact,Yes,Low,Yes,NA,784,NA,Yes,Yes,Rejected,Hold,Yes,Notes for PDOC,Yes,2,Pending,2025-09-11 03:26,PDOC note for APP014,5087,2025-09-11 04:26,Inactive,NA,DI note for APP014,2025-09-11 01:29,2025-09-11 02:26,57,2,No,Team A,2025-09-11 02:26,Escalation note for APP014,No
166,APP014,Credit Card,Online,DI,Disbursed,2025-09-11 06:11,Team A,Pending,Disbursed done for DI,No,None,Yes,Medium,Yes,Yes,342,Yes,No,NA,Pending,Hold,NA,Notes for DI,Yes,2,Complete,2025-09-11 07:11,PDOC note for APP014,6767,2025-09-11 08:11,Active,Yes,DI note for APP014,2025-09-11 02:38,2025-09-11 06:11,213,2,Yes,Team A,2025-09-11 06:11,Escalation note for APP014,No
167,APP014,Credit Card,Online,DI,Activated,2025-09-11 08:05,Team B,Rejected,Activated done for DI,NA,None,Yes,Medium,No,Yes,491,Yes,No,Yes,Rejected,Approve,NA,Notes for DI,NA,1,Approved,2025-09-11 09:05,PDOC note for APP014,6744,2025-09-11 10:05,Active,NA,DI note for APP014,2025-09-11 07:04,2025-09-11 08:05,61,7,No,Team B,2025-09-11 08:05,Escalation note for APP014,No
168,APP014,Credit Card,Online,DI,Welcome Kit Sent,2025-09-11 11:26,Team B,Approved,Welcome Kit Sent done for DI,NA,Exact,No,Low,No,Yes,687,Yes,Yes,No,Cleared,Approve,NA,Notes for DI,No,1,Rejected,2025-09-11 12:26,PDOC note for APP014,2942,2025-09-11 13:26,Active,No,DI note for APP014,2025-09-11 08:38,2025-09-11 11:26,168,4,No,Team B,2025-09-11 11:26,Escalation note for APP014,No
169,APP015,Credit Card,Partner,Sourcing,Submitted,2025-09-04 06:05,Third Party,On Hold,Submitted done for Sourcing,NA,Partial,No,High,Yes,Yes,330,No,Yes,No,Cleared,Hold,No,Notes for Sourcing,NA,1,Approved,2025-09-04 07:05,PDOC note for APP015,6042,2025-09-04 08:05,Active,No,DI note for APP015,2025-09-04 05:00,2025-09-04 06:05,65,3,Yes,Team B,2025-09-04 06:05,Escalation note for APP015,Yes
170,APP015,Credit Card,Partner,Sourcing,Reviewed,2025-09-04 10:01,System,Approved,Reviewed done for Sourcing,Yes,Partial,No,High,NA,Yes,460,NA,Yes,Yes,Rejected,Hold,NA,Notes for Sourcing,NA,0,On Hold,2025-09-04 11:01,PDOC note for APP015,5642,2025-09-04 12:01,Active,Yes,DI note for APP015,2025-09-04 06:44,2025-09-04 10:01,197,5,Yes,Team A,2025-09-04 10:01,Escalation note for APP015,Yes
171,APP015,Credit Card,Partner,Dedupe,Checked,2025-09-04 12:21,Third Party,Rejected,Checked done for Dedupe,NA,Exact,No,Low,Yes,Yes,525,No,NA,Yes,Pending,Approve,NA,Notes for Dedupe,No,3,Pending,2025-09-04 13:21,PDOC note for APP015,8889,2025-09-04 14:21,Active,NA,DI note for APP015,2025-09-04 10:08,2025-09-04 12:21,133,2,No,Team B,2025-09-04 12:21,Escalation note for APP015,Yes
172,APP015,Credit Card,Partner,Dedupe,Flagged,2025-09-04 17:10,Team A,Complete,Flagged done for Dedupe,Yes,Partial,NA,Medium,Yes,NA,838,NA,No,No,Rejected,Approve,NA,Notes for Dedupe,NA,3,Rejected,2025-09-04 18:10,PDOC note for APP015,9204,2025-09-04 19:10,Active,No,DI note for APP015,2025-09-04 13:15,2025-09-04 17:10,235,9,No,System,2025-09-04 17:10,Escalation note for APP015,No
173,APP015,Credit Card,Partner,Underwriting,Verified Documents,2025-09-04 17:40,Team A,On Hold,Verified Documents done for Underwriting,Yes,Exact,Yes,Medium,No,NA,756,Yes,No,NA,Pending,Decline,NA,Notes for Underwriting,NA,0,On Hold,2025-09-04 18:40,PDOC note for APP015,5754,2025-09-04 19:40,Active,No,DI note for APP015,2025-09-04 17:20,2025-09-04 17:40,20,10,No,Team B,2025-09-04 17:40,Escalation note for APP015,Yes
174,APP015,Credit Card,Partner,Underwriting,Decision,2025-09-04 18:32,Team B,Approved,Decision done for Underwriting,NA,Partial,No,Medium,NA,No,655,NA,No,No,Pending,Decline,No,Notes for Underwriting,Yes,1,Approved,2025-09-04 19:32,PDOC note for APP015,9165,2025-09-04 20:32,Inactive,No,DI note for APP015,2025-09-04 17:48,2025-09-04 18:32,44,6,No,Team A,2025-09-04 18:32,Escalation note for APP015,No
175,APP015,Credit Card,Partner,Underwriting,Escalated,2025-09-04 21:12,Team B,Pending,Escalated done for Underwriting,Yes,Partial,Yes,High,No,NA,826,Yes,Yes,Yes,Cleared,Approve,NA,Notes for Underwriting,Yes,3,Complete,2025-09-04 22:12,PDOC note for APP015,5983,2025-09-04 23:12,Inactive,NA,DI note for APP015,2025-09-04 19:07,2025-09-04 21:12,125,6,No,System,2025-09-04 21:12,Escalation note for APP015,No
176,APP015,Credit Card,Partner,PDOC,Documents Collected,2025-09-05 00:03,Team B,Pending,Documents Collected done for PDOC,No,None,Yes,High,No,NA,727,Yes,Yes,NA,Cleared,Decline,Yes,Notes for PDOC,NA,2,Escalated,2025-09-05 01:03,PDOC note for APP015,9511,2025-09-05 02:03,Inactive,Yes,DI note for APP015,2025-09-04 22:08,2025-09-05 00:03,115,8,No,System,2025-09-05 00:03,Escalation note for APP015,No
177,APP015,Credit Card,Partner,PDOC,PDOC Reviewed,2025-09-05 00:43,Team A,Rejected,PDOC Reviewed done for PDOC,NA,Exact,Yes,Low,No,Yes,652,NA,NA,Yes,Cleared,Decline,NA,Notes for PDOC,Yes,3,Rejected,2025-09-05 01:43,PDOC note for APP015,3190,2025-09-05 02:43,Inactive,NA,DI note for APP015,2025-09-05 00:33,2025-09-05 00:43,10,3,No,Team B,2025-09-05 00:43,Escalation note for APP015,No
178,APP015,Credit Card,Partner,DI,Disbursed,2025-09-05 03:10,System,Complete,Disbursed done for DI,No,Partial,No,High,No,NA,798,No,NA,No,Rejected,Hold,Yes,Notes for DI,No,1,Pending,2025-09-05 04:10,PDOC note for APP015,7583,2025-09-05 05:10,Active,NA,DI note for APP015,2025-09-05 01:42,2025-09-05 03:10,88,3,Yes,System,2025-09-05 03:10,Escalation note for APP015,No
179,APP015,Credit Card,Partner,DI,Activated,2025-09-05 05:11,Third Party,Escalated,Activated done for DI,NA,None,Yes,High,NA,NA,884,Yes,NA,No,Cleared,Approve,No,Notes for DI,Yes,0,Pending,2025-09-05 06:11,PDOC note for APP015,9296,2025-09-05 07:11,Active,NA,DI note for APP015,2025-09-05 03:34,2025-09-05 05:11,97,10,No,Team A,2025-09-05 05:11,Escalation note for APP015,Yes
180,APP015,Credit Card,Partner,DI,Welcome Kit Sent,2025-09-05 08:00,Third Party,On Hold,Welcome Kit Sent done for DI,Yes,Exact,NA,Low,Yes,NA,376,No,No,No,Pending,Hold,Yes,Notes for DI,NA,2,Complete,2025-09-05 09:00,PDOC note for APP015,1229,2025-09-05 10:00,Inactive,Yes,DI note for APP015,2025-09-05 05:29,2025-09-05 08:00,151,10,Yes,Team B,2025-09-05 08:00,Escalation note for APP015,Yes
181,APP016,Loan,TeleSales,Sourcing,Submitted,2025-09-06 01:20,System,Pending,Submitted done for Sourcing,NA,Exact,NA,Medium,NA,NA,337,NA,No,NA,Cleared,Approve,NA,Notes for Sourcing,Yes,0,Pending,2025-09-06 02:20,PDOC note for APP016,9491,2025-09-06 03:20,Active,NA,DI note for APP016,2025-09-06 01:00,2025-09-06 01:20,20,1,No,Team B,2025-09-06 01:20,Escalation note for APP016,No
182,APP016,Loan,TeleSales,Sourcing,Reviewed,2025-09-06 04:22,Team A,On Hold,Reviewed done for Sourcing,No,Partial,No,Low,Yes,No,374,No,NA,NA,Rejected,Hold,NA,Notes for Sourcing,NA,0,On Hold,2025-09-06 05:22,PDOC note for APP016,9689,2025-09-06 06:22,Active,No,DI note for APP016,2025-09-06 02:00,2025-09-06 04:22,142,4,No,System,2025-09-06 04:22,Escalation note for APP016,Yes
183,APP016,Loan,TeleSales,Dedupe,Checked,2025-09-06 07:31,Team B,Approved,Checked done for Dedupe,Yes,Exact,Yes,Medium,No,No,739,No,Yes,No,Pending,Approve,Yes,Notes for Dedupe,No,3,Rejected,2025-09-06 08:31,PDOC note for APP016,8387,2025-09-06 09:31,Active,Yes,DI note for APP016,2025-09-06 04:50,2025-09-06 07:31,161,4,Yes,Team A,2025-09-06 07:31,Escalation note for APP016,No
184,APP016,Loan,TeleSales,Dedupe,Flagged,2025-09-06 10:29,Third Party,Approved,Flagged done for Dedupe,NA,None,No,Low,NA,Yes,531,NA,NA,Yes,Cleared,Decline,No,Notes for Dedupe,No,1,Complete,2025-09-06 11:29,PDOC note for APP016,1048,2025-09-06 12:29,Active,Yes,DI note for APP016,2025-09-06 08:11,2025-09-06 10:29,138,6,No,Team B,2025-09-06 10:29,Escalation note for APP016,No
185,APP016,Loan,TeleSales,Underwriting,Verified Documents,2025-09-06 13:31,Team A,Pending,Verified Documents done for Underwriting,NA,Partial,Yes,Low,Yes,No,309,NA,No,No,Cleared,Decline,Yes,Notes for Underwriting,Yes,3,Approved,2025-09-06 14:31,PDOC note for APP016,7756,2025-09-06 15:31,Inactive,NA,DI note for APP016,2025-09-06 10:53,2025-09-06 13:31,158,4,Yes,System,2025-09-06 13:31,Escalation note for APP016,Yes
186,APP016,Loan,TeleSales,Underwriting,Decision,2025-09-06 16:56,Auto,Pending,Decision done for Underwriting,Yes,Partial,NA,Medium,Yes,Yes,827,No,No,NA,Pending,Approve,NA,Notes for Underwriting,NA,2,Escalated,2025-09-06 17:56,PDOC note for APP016,5015,2025-09-06 18:56,Active,NA,DI note for APP016,2025-09-06 13:54,2025-09-06 16:56,182,5,No,Team A,2025-09-06 16:56,Escalation note for APP016,No
187,APP016,Loan,TeleSales,Underwriting,Escalated,2025-09-06 18:20,Team A,Rejected,Escalated done for Underwriting,NA,Exact,NA,Medium,Yes,Yes,645,No,No,NA,Cleared,Decline,No,Notes for Underwriting,Yes,1,Escalated,2025-09-06 19:20,PDOC note for APP016,7890,2025-09-06 20:20,Inactive,No,DI note for APP016,2025-09-06 17:25,2025-09-06 18:20,55,3,No,Team B,2025-09-06 18:20,Escalation note for APP016,Yes
188,APP016,Loan,TeleSales,PDOC,Documents Collected,2025-09-06 22:03,System,Rejected,Documents Collected done for PDOC,Yes,None,NA,Medium,NA,NA,320,No,No,No,Rejected,Decline,Yes,Notes for PDOC,NA,3,Escalated,2025-09-06 23:03,PDOC note for APP016,4946,2025-09-07 00:03,Inactive,No,DI note for APP016,2025-09-06 18:59,2025-09-06 22:03,184,4,Yes,Team B,2025-09-06 22:03,Escalation note for APP016,No
189,APP016,Loan,TeleSales,PDOC,PDOC Reviewed,2025-09-06 23:46,Team A,Pending,PDOC Reviewed done for PDOC,No,Exact,NA,Low,NA,Yes,900,No,Yes,Yes,Rejected,Hold,NA,Notes for PDOC,Yes,0,Complete,2025-09-07 00:46,PDOC note for APP016,3372,2025-09-07 01:46,Inactive,No,DI note for APP016,2025-09-06 22:54,2025-09-06 23:46,52,5,No,System,2025-09-06 23:46,Escalation note for APP016,Yes
190,APP016,Loan,TeleSales,DI,Disbursed,2025-09-07 03:57,Team A,On Hold,Disbursed done for DI,No,None,Yes,Medium,NA,Yes,876,Yes,Yes,No,Pending,Decline,No,Notes for DI,No,0,Complete,2025-09-07 04:57,PDOC note for APP016,5455,2025-09-07 05:57,Inactive,NA,DI note for APP016,2025-09-07 00:19,2025-09-07 03:57,218,4,Yes,Team B,2025-09-07 03:57,Escalation note for APP016,No
